thread_id,customer_tweet_id,customer_author_id,customer_text,brand_tweet_id,brand_text,turn_count,created_at
twcs_apple_00001,698,115854,@AppleSupport  https://t.co/NV0yucs0lB,696,@115854 We're here for you. Which version of the iOS are you running? Check from Settings &gt; General &gt; About.,4,Tue Oct 31 22:17:40 +0000 2017
twcs_apple_00002,709,115855,@AppleSupport I️ need answers because it’s annoying 🙃,708,@115855 We'd like to look into this with you. Which model do you have and is iOS 11.1 installed? Any steps tried so far?,4,Tue Oct 31 21:34:45 +0000 2017
twcs_apple_00003,714,115856,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues with capital “I️” in the Mail app? As it puts in “A”?",712,"@115856 Hey, let's work together to figure out what's going on. Meet us in DM and we'll continue from there. https://t.co/GDrqU22YpT",3,Tue Oct 31 22:19:32 +0000 2017
twcs_apple_00004,719,115857,Tf is wrong with my keyboard @115858,718,"@115857 Fill us in on what is happening, then we can help out from there.",4,Tue Oct 31 22:01:50 +0000 2017
twcs_apple_00005,723,115859,@115858 @AppleSupport hello are all the lines closed for tonight #help,722,@115859 What's going on? We're hapy to help if we can. https://t.co/GDrqU22YpT,4,Tue Oct 31 22:11:16 +0000 2017
twcs_apple_00006,725,115860,@115861 @115862 @AppleSupport I️ upgraded. I️t didn’t work.,724,"@115860 Reach out to us via DM, and we can take a look at this with you. https://t.co/GDrqU22YpT",2,Tue Oct 31 22:16:35 +0000 2017
twcs_apple_00007,730,115861,"Hello, internet. Can someone explain why this symbol keeps appearing on my phone and when I️ try to type the letter I️? Also @AppleSupport https://t.co/QKwvTLtiN7",729,"@115861 You're in the right place; we'll do all we can to help. To start, let us know what iOS version is installed via DM: https://t.co/GDrqU22YpT",3,Tue Oct 31 20:46:35 +0000 2017
twcs_apple_00008,733,115863,@AppleSupport I’ve got a screenshot saying my #iPhoneX is reserved for the 3rd then an email saying it’s the 18th... what happened?,732,@115863 Go ahead and send us a DM please. Let us know the country you're in.,2,Tue Oct 31 22:16:40 +0000 2017
twcs_apple_00009,736,115864,Thank you @AppleSupport I updated my phone and now it is even slower and barely works. Thank you for ruining my phone.😤,734,"@115864 We'd like to help, but we'll need more details. What's happening on your device and which model is it? Do you have iOS 11.1?",4,Tue Oct 31 22:17:57 +0000 2017
twcs_apple_00010,747,115865,Hola @AppleSupport necesito urgente la actualización de software. La batería me dura literal medio día 🙍🏼🙇🏼‍♀️,746,@115865 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,4,Tue Oct 31 18:08:04 +0000 2017
twcs_apple_00011,749,115866,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t,748,@115866 We want to help! DM us and let us know more about the issues you are having. https://t.co/GDrqU22YpT,2,Tue Oct 31 22:06:44 +0000 2017
twcs_apple_00012,751,115867,@AppleSupport ? hello,750,@115867 We'd like to get you speaking to our experts here: https://t.co/IBIY3vMgPj,2,Tue Oct 31 22:08:39 +0000 2017
